Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status,Image Src,Image Alt Text,SEO Title,SEO Description,Collection
zen-moment,Zen Moment,"<p>ABOUT TO UNDERGO TEST MODE Go zen with Zen Moment. This botanical Herbal soap ushers you into a tranquil, nature- inspired, spa-like oasis. Formulated with purifying and luxurious blends of nourishing ingredients, Zen gives you the moment of exhale we all seek after a long day. From the soothing touch of lavender to the refreshing pick-up of eucalyptus, Zen Moment turns your everyday routine into a mindful, wholesome ritual. Relax, breathe in, and exhale the wonderful scents of peppermint. A delightful treat for your skin and senses. Zen Moment is a must have in every cleansing routine. Embrace relaxation and mindfulness, as you uncover smoother, softer, radiant, and revitalized skin, time after time.</p><p><strong>Ingredients:</strong> Aloe Vera Base, Coconut Oil Base, Aloe Vera Oil, Lavender Oil, Frankincense Oil, Peppermint Oil, Eucalyptus Oil, Tea Tree Oil, Violet Oil, Natural Coloring and Natural Preservative.</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Signature Collection, unisex/general, coming_soon, herbal-soap, coming-soon",false,Title,Default Title,WEIGHT: 6.3 OZ,178,shopify,0,deny,manual,19.99,true,true,draft,,Zen Moment herbal soap by Royal Being,Zen Moment | Royal Being Herbal Soap,"ABOUT TO UNDERGO TEST MODE Go zen with Zen Moment. This botanical Herbal soap ushers you into a tranquil, nature- inspired, spa-like oasis. Formulated with",The Signature Collection
bamboozled,Bamboozled,"<p>Step into the wonderful, invigorating world of the Green Bamboo which offers a crisp experience, with the delicate notes of balsam and bamboo reeds. Bring smells of an enchanted forest right into your shower routine. Masculine, powerful, grounding, and unpretentious, our Bamboozled Herbal Soap bar exudes notes that are formulated with skin loving ingredients, and infused with beneficial essential oils. All ethically sourced with intention to offer the best in ultimate skin care. Prepare for a crisp, wild scent, and a refreshing clean.</p><p><strong>Ingredients:</strong> Goat’s Milk, Bamboo FO, Organic Fir Balsam Oil, White Tea Oil, Cedar Wood Oil, Sandalwood Oil, Patchouli Oil, Natural Coloring, and Natural Preservative.</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Royal Duke Collection, men, draft_pending_owner_approval, herbal-soap",false,Title,Default Title,WEIGHT: 7.3 OZ,206,shopify,0,deny,manual,19.99,true,true,draft,,Bamboozled herbal soap by Royal Being,Bamboozled | Royal Being Herbal Soap,"Step into the wonderful, invigorating world of the Green Bamboo which offers a crisp experience, with the delicate notes of balsam and bamboo reeds. Bring ",The Royal Duke Collection
woody,Woody,"<p>Wind back time with Woody. The herbal soap with earthy roots. Woody is formulated with skin- loving ingredients such as Goat’s Milk, and all natural essential oils such as Patchouli and Sandalwood to create the ultimate fusion of earthy scents, with a twist of Tobacco Oud. Each ingredient was carefully curated to add mystery, depth, and a remarkably lasting scent with each cleanse. Woody is perfect for the vintage gentleman who loves aromas with a remarkable staying power. Let Woody transport your senses back to the 60’s with its outstanding musk, its nourishing ingredients and its hydrating essence. Experience rich, warm, intense cleanse, one bar at a time.</p><p><strong>Ingredients:</strong> Goat’s Milk, Cedar wood Oil, Sandalwood Oil, Tobacco Oil, Patchouli Oil, Sweet Orange Oil, Bergamot Oil, Natural Coloring, and Natural Preservative.</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Royal Duke Collection, men, draft_pending_owner_approval, herbal-soap",false,Title,Default Title,WEIGHT: 7.3 OZ,206,shopify,0,deny,manual,20.99,true,true,draft,,Woody herbal soap by Royal Being,Woody | Royal Being Herbal Soap,"Wind back time with Woody. The herbal soap with earthy roots. Woody is formulated with skin- loving ingredients such as Goat’s Milk, and all natural essent",The Royal Duke Collection
the-ethan,The Ethan,"<p>Experience The Ethan, our remarkable Herbal Soap Bar for the enduring man. Carefully crafted with notes that are grounded, strong, and bold. Every ingredient was specifically formulated to deliver an enduring, earthy, fresh experience, with remarkable staying power. Loaded with skin- loving ingredients that are infused with mindful all-natural essential oils. Warm notes like sage, balanced with spicy hints of black pepper, the Ethan evokes an unforgettable shower experience. Experience a rich, warm, and intense cleanse with elevated hydration and well nourished skin.</p><p><strong>Ingredients:</strong> Goat’s Milk, Vanilla Oil, Cedarwood Oil, Sandalwood Oil, Amber Oil, Vetiver Oil, Bergamot Oil, Black Pepper, Fresh Linen FO, Sage Oil, White Tea FO, Eucalyptus Oil, Warm Oud FO, Natural Coloring, and Natural Preservative.</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Royal Duke Collection, men, draft_pending_owner_approval, herbal-soap",false,Title,Default Title,WEIGHT: 7.3 OZ,206,shopify,0,deny,manual,21.99,true,true,draft,,The Ethan herbal soap by Royal Being,The Ethan | Royal Being Herbal Soap,"Experience The Ethan, our remarkable Herbal Soap Bar for the enduring man. Carefully crafted with notes that are grounded, strong, and bold. Every ingredie",The Royal Duke Collection
the-aristocrat,The Aristocrat,"<p>Wander into the spellbinding world of the Aristocrat, the noble herbal soap for the refined and ambitious man. Each skin loving ingredient was ethically sourced, carefully chosen, and perfectly curated to complement the skin. Discover its luxurious lathers; its crisp, fresh, and wonderful blend of essential oils that deliver notes of cedar, amber, and bergamot. This divine formulation refreshes the skin, and then transitions into the most inviting scents. The Aristocrat offers an undeniable, irresistible cleansing ritual that lasts and lasts with each wash.</p><p><strong>Ingredients:</strong> Goat’s Milk, Cedarwood, Patchouli Oil, Amber Oil, Warm Oud Oil, Watermelon FO, Lime Oil, Bergamot Oil, Natural Coloring, and Natural Preservative.</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Royal Duke Collection, men, coming_soon, herbal-soap, coming-soon",false,Title,Default Title,WEIGHT: 7.3 OZ,206,shopify,0,deny,manual,20.99,true,true,draft,,The Aristocrat herbal soap by Royal Being,The Aristocrat | Royal Being Herbal Soap,"Wander into the spellbinding world of the Aristocrat, the noble herbal soap for the refined and ambitious man. Each skin loving ingredient was ethically so",The Royal Duke Collection
teakwood,Teakwood,"<p>ABOUT TO UNDERGO TEST MODE Experience Teakwood, the herbal, botanical soap for the rich, rugged, or sophisticated man. Crafted with ambitious notes that are warm, woody, and remarkably provocative. Each skin loving ingredient in Teakwood was ethically sourced, and carefully curated to complement the skin. Discover its refined aroma, its rich and luxurious lather, and the wonderful blends of essential oils that deliver smoky notes of tobacco and outdoorsy vibes. Teakwood’s herbal bar is formulated with Goat’s Milk for deep hydration, and infused with indulgent all-natural essential oils such as Warm Oud, Patchouli and Teakwood, to revive the senses. Its wonderful notes transition into the most exotic and inviting scents.</p><p><strong>Ingredients:</strong> Goat’s Milk, Teakwood Oil, Tobacco Oud, Patchouli Oil, Lavender Oil, Black Pepper Oil, Warm Oud Oil, Clove Oil, Cardamom Oil, Bergamot Oil, Natural Coloring, and Natural Preservative.</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Royal Duke Collection, men, coming_soon, herbal-soap, coming-soon",false,Title,Default Title,WEIGHT: 7.3 OZ,206,shopify,0,deny,manual,21.99,true,true,draft,,Teakwood herbal soap by Royal Being,Teakwood | Royal Being Herbal Soap,"ABOUT TO UNDERGO TEST MODE Experience Teakwood, the herbal, botanical soap for the rich, rugged, or sophisticated man. Crafted with ambitious notes that ar",The Royal Duke Collection
the-chloe,The Chloe,"<p>ABOUT TO UNDERGO TEST MODE Say hello to full bloom with Chloe, our herbal bar soap formulated with skin-loving ingredients and infused with delicate essential oils. Chloe is ideal for every child with delicate skin. This herbal soap bar is reminiscent of spring and has gentle notes such as lavender and spearmint to revive any Royal Being. Experience soft, gentle lathers that caress and nourish the skin, leaving it supple, smooth, and restored. with each use.</p><p><strong>Ingredients:</strong> Coconut Milk, Mango Base, Lavender Oil, Organic Roman Chamomile Oil, Sweet Orange Oil, Cherry Blossom Oil, Natural Coloring, and Natural Preservative.</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Royal Kid Herbal Collection, kids, coming_soon, herbal-soap, coming-soon",false,Title,Default Title,WEIGHT: 5.29 OZ,149,shopify,0,deny,manual,12.99,true,true,draft,,The Chloe herbal soap by Royal Being,The Chloe | Royal Being Herbal Soap,"ABOUT TO UNDERGO TEST MODE Say hello to full bloom with Chloe, our herbal bar soap formulated with skin-loving ingredients and infused with delicate essent",The Royal Kid Herbal Collection
the-bodhi,The Bodhi,"<p>Experience a renewal with Bodhi, our kid friendly herbal soap bar for sensitive skin. Formulated with gentle ingredients that soothe, calm, and target sensitivity, Bodhi is renowned for calming redness and relieving itchy skin. It is infused with Sweet Orange to lift up the spirits of your little one, and perfect for bedtime baths. Bodhi herbal bar is the perfect cleansing companion for your little one. Enjoy, gentle, lofty lathers that caress and nourish the skin, one shower at a time.</p><p><strong>Ingredients:</strong> Oatmeal Base, Honey Base, Aloe Vera Base, Shea Butter Base, Lavender Oil, Organic Roman Chamomile Oil, Sweet Orange Oil, Oatmeal, Natural Coloring, and Natural Preservative.</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Royal Kid Herbal Collection, kids, coming_soon, herbal-soap, coming-soon",false,Title,Default Title,WEIGHT: 3 OZ,85,shopify,0,deny,manual,9.99,true,true,draft,,The Bodhi herbal soap by Royal Being,The Bodhi | Royal Being Herbal Soap,"Experience a renewal with Bodhi, our kid friendly herbal soap bar for sensitive skin. Formulated with gentle ingredients that soothe, calm, and target sens",The Royal Kid Herbal Collection
the-matthew,The Matthew,"<p>Experience the ultimate soap in our Royal Kid Herbal Collection: The Matthew. Tried and approved by kids, who love and sing its praises at bath time. The Matthew is formulated with skin-loving ingredients and infused with mindful essential oils that target skin conditions. With ingredients such as Shea Butter that nourish the skin, and calendula oil that manages inflammations, while targeting skin conditions such as eczema, it’s no wonder the Matthew is our most demanded soap. Use The Matthew nightly to help lock in moisture without clogging delicate pores.</p><p><strong>Ingredients:</strong> Oatmeal Base, Aloe Vera Base, Shea Butter Base, Coconut Oil, Aloe Vera Oil, Aloe Vera Gel, Castor Oil, Organic Roman Chamomile Oil, Sweet Orange Oil, Melon Oil, Organic Cucumber Oil, Oatmeal, Natural Coloring, and Natural Preservative.</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Royal Kid Herbal Collection, kids, coming_soon, herbal-soap, coming-soon",false,Title,Default Title,WEIGHT: 3 OZ,85,shopify,0,deny,manual,9.99,true,true,draft,,The Matthew herbal soap by Royal Being,The Matthew | Royal Being Herbal Soap,"Experience the ultimate soap in our Royal Kid Herbal Collection: The Matthew. Tried and approved by kids, who love and sing its praises at bath time. The M",The Royal Kid Herbal Collection
the-iris,The Iris,"<p>Introducing Iris, the Royal bar that’s true to its name. This herbal bar was formulated with delicate skin-loving ingredients that not only rejuvenate skin, but also uplifts your kids’ mood. With notes of soothing lavender and the uplifting effect of sweet smelling orange, bath time is sure to be a fun, and invigorating time for every child.</p><p><strong>Ingredients:</strong> Goat’s Milk Base, Aloe Vera Base, Lavender Oil, Organic Roman Chamomile Oil, Sweet Orange Oil, Natural Coloring, and Natural Preservative.</p>",Royal Being,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Soap,Herbal Soap,"The Royal Kid Herbal Collection, kids, coming_soon, herbal-soap, coming-soon",false,Title,Default Title,WEIGHT: 5.29 OZ,149,shopify,0,deny,manual,12.99,true,true,draft,,The Iris herbal soap by Royal Being,The Iris | Royal Being Herbal Soap,"Introducing Iris, the Royal bar that’s true to its name. This herbal bar was formulated with delicate skin-loving ingredients that not only rejuvenate skin",The Royal Kid Herbal Collection
